,Comp_Time,Comp_Time_2,Source,Patient_ID_#,Sample_ID,Rack,Verify,Test_Name,Result,Result_NEW,Result_NEW_2,Result_NEW_log,Units,Comp_Time_3,Date,Date_2,Day,Month,Year,Time,Flags,LIS,Instrument,RLU,Pipettor,Sample_Type,Sample_Priority,Control_or_calibrator_occurrence,Date_full_counter,Date_counter,Test_ID,Reagent_Pack_Lot_#,Reagent_Pack_Serial_#,Dilution,Calibrator_level,Load_Date/Time,Diluent_Pack_Lot_#,Diluent_Pack_Serial_#,Control_abnormal,Patient_abnormal,Patient_abnormal_2,Control_patient_abnormal,Unnamed: 42,Cali_Line
0,2014-04-08 03:32:00,8/4/14 3:32,04-09-14-11-10-58.csv,328530,TSHCalS0,205.0,,TSH,0.0,0.0,0.0,0.0,uIU/mL,8/4/14 3:32,8-Apr-14,8/4/14,Tue,Apr,2014,3:32:00,,,603170,9313.0,3.0,Serum,calibrator,1.0,35.0,17220.0,183,334923.0,21468.0,1,0,4/8/14 14:44,,,0.0,0,,0,,0.172450763
1,2014-04-08 03:32:00,8/4/14 3:32,04-10-14-09-02-57.csv,328530,TSHCalS0,205.0,,TSH,0.0,0.0,0.0,0.0,uIU/mL,8/4/14 3:32,8-Apr-14,8/4/14,Tue,Apr,2014,3:32:00,,,603170,9313.0,3.0,Serum,calibrator,2.0,36.0,17220.0,183,334923.0,21468.0,1,0,4/8/14 14:44,,,0.0,0,,0,,0.172450763
2,2014-04-08 03:33:00,8/4/14 3:33,04-09-14-11-10-58.csv,328530,TSHCalS1,205.0,,TSH,0.1,0.1,-1.0,0.0,uIU/mL,8/4/14 3:33,8-Apr-14,8/4/14,Tue,Apr,2014,3:33:00,,,603170,36660.0,3.0,Serum,calibrator,3.0,37.0,17220.0,183,334923.0,21468.0,1,1,4/8/14 14:44,,,0.0,0,,0,,0.172450763
3,2014-04-08 03:33:00,8/4/14 3:33,04-09-14-11-10-58.csv,328530,TSHCalS1,205.0,,TSH,0.1,0.1,-1.0,0.0,uIU/mL,8/4/14 3:33,8-Apr-14,8/4/14,Tue,Apr,2014,3:33:00,,,603170,36698.0,3.0,Serum,calibrator,4.0,38.0,17220.0,183,334923.0,21468.0,1,1,4/8/14 14:44,,,0.0,0,,0,,0.172450763
4,2014-04-08 03:33:00,8/4/14 3:33,04-10-14-09-02-57.csv,328530,TSHCalS1,205.0,,TSH,0.1,0.1,-1.0,0.0,uIU/mL,8/4/14 3:33,8-Apr-14,8/4/14,Tue,Apr,2014,3:33:00,,,603170,36660.0,3.0,Serum,calibrator,5.0,39.0,17220.0,183,334923.0,21468.0,1,1,4/8/14 14:44,,,0.0,0,,0,,0.172450763
5,2014-04-08 03:33:00,8/4/14 3:33,04-10-14-09-02-57.csv,328530,TSHCalS1,205.0,,TSH,0.1,0.1,-1.0,0.0,uIU/mL,8/4/14 3:33,8-Apr-14,8/4/14,Tue,Apr,2014,3:33:00,,,603170,36698.0,3.0,Serum,calibrator,6.0,40.0,17220.0,183,334923.0,21468.0,1,1,4/8/14 14:44,,,0.0,0,,0,,0.172450763
6,2014-04-08 03:34:00,8/4/14 3:34,04-09-14-11-10-58.csv,328530,TSHCalS2,205.0,,TSH,0.49,0.49,-0.30980392,0.0,uIU/mL,8/4/14 3:34,8-Apr-14,8/4/14,Tue,Apr,2014,3:34:00,,,603170,148804.0,3.0,Serum,calibrator,7.0,41.0,17220.0,183,334923.0,21468.0,1,2,4/8/14 14:44,,,0.0,0,,0,,0.172450763
7,2014-04-08 03:34:00,8/4/14 3:34,04-10-14-09-02-57.csv,328530,TSHCalS2,205.0,,TSH,0.49,0.49,-0.30980392,0.0,uIU/mL,8/4/14 3:34,8-Apr-14,8/4/14,Tue,Apr,2014,3:34:00,,,603170,148804.0,3.0,Serum,calibrator,8.0,42.0,17220.0,183,334923.0,21468.0,1,2,4/8/14 14:44,,,0.0,0,,0,,0.172450763
8,2014-04-08 03:35:00,8/4/14 3:35,04-09-14-11-10-58.csv,328530,TSHCalS2,205.0,,TSH,0.49,0.49,-0.30980392,0.0,uIU/mL,8/4/14 3:35,8-Apr-14,8/4/14,Tue,Apr,2014,3:35:00,,,603170,147618.0,3.0,Serum,calibrator,9.0,43.0,17220.0,183,334923.0,21468.0,1,2,4/8/14 14:44,,,0.0,0,,0,,0.172450763
9,2014-04-08 03:35:00,8/4/14 3:35,04-10-14-09-02-57.csv,328530,TSHCalS2,205.0,,TSH,0.49,0.49,-0.30980392,0.0,uIU/mL,8/4/14 3:35,8-Apr-14,8/4/14,Tue,Apr,2014,3:35:00,,,603170,147618.0,3.0,Serum,calibrator,10.0,44.0,17220.0,183,334923.0,21468.0,1,2,4/8/14 14:44,,,0.0,0,,0,,0.172450763
